EmpID,Age,AgeGroup,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
RM301,22,18-25,Yes,Travel_Frequently,1013,Sales,24,1,Life Sciences,1,401,1,Female,41,1,4,Sales Executive,3,Divorced,18761,5k-10k,23910,9,Y,Yes,14,1,1,80,0,25,3,1,16,6,7,1
RM302,38,36-45,No,Non-Travel,804,Research & Development,30,2,Technical Degree,1,402,3,Female,61,4,1,Sales Representative,1,Married,14337,10k-20k,14300,4,Y,Yes,24,4,4,80,0,1,2,3,6,0,4,0
RM303,27,26-35,Yes,Travel_Frequently,952,Human Resources,25,1,Medical,1,403,3,Male,82,1,4,Sales Representative,2,Divorced,2479,20k+,19241,10,Y,No,12,4,3,80,3,39,0,2,7,1,1,10
RM304,57,46-60,Yes,Non-Travel,395,Research & Development,13,4,Technical Degree,1,404,1,Female,79,3,3,Manager,2,Single,11074,10k-20k,16508,5,Y,Yes,10,1,2,80,1,16,1,4,4,10,4,8
RM305,49,46-60,No,Travel_Frequently,846,Human Resources,28,2,Marketing,1,405,4,Male,76,1,4,Sales Representative,4,Single,1146,10k-20k,23251,7,Y,No,24,4,1,80,1,19,5,4,20,5,8,3
RM306,54,46-60,Yes,Non-Travel,880,Sales,21,3,Marketing,1,406,4,Male,82,4,2,Sales Representative,3,Single,5433,20k+,28743,3,Y,No,17,1,4,80,1,32,5,1,13,1,10,5
RM307,41,36-45,No,Travel_Rarely,849,Sales,3,3,Marketing,1,407,3,Female,37,3,1,Sales Executive,4,Married,4485,20k+,24305,3,Y,Yes,13,2,3,80,2,3,0,3,5,10,8,7
RM308,24,18-25,No,Travel_Frequently,1231,Sales,5,1,Medical,1,408,1,Male,46,3,1,Laboratory Technician,1,Married,16773,20k+,5498,6,Y,Yes,19,3,3,80,2,40,4,4,4,8,1,3
RM309,32,26-35,No,Travel_Rarely,1442,Human Resources,4,5,Medical,1,409,2,Female,87,2,4,Sales Executive,4,Divorced,1695,Upto 5k,23828,4,Y,No,25,3,4,80,2,26,4,2,11,8,6,4
RM310,36,36-45,Yes,Travel_Rarely,213,Research & Development,19,1,Medical,1,410,2,Male,36,1,1,Sales Executive,1,Single,5422,10k-20k,14903,0,Y,No,17,1,4,80,1,5,5,1,12,9,6,0
RM311,50,46-60,Yes,Travel_Rarely,539,Research & Development,25,4,Marketing,1,411,1,Female,54,2,2,Research Scientist,1,Single,8100,20k+,6187,2,Y,No,20,4,3,80,2,34,0,2,11,7,5,3
RM312,29,26-35,No,Travel_Rarely,1235,Research & Development,25,2,Technical Degree,1,412,2,Male,62,2,1,Laboratory Technician,4,Single,2962,Upto 5k,25534,6,Y,Yes,17,1,2,80,1,39,4,4,20,4,7,4
RM313,30,26-35,No,Non-Travel,1405,Research & Development,1,3,Technical Degree,1,413,1,Male,45,4,4,Sales Executive,2,Single,3966,Upto 5k,5798,5,Y,Yes,12,3,2,80,2,38,3,1,10,3,6,4
RM314,37,36-45,Yes,Travel_Frequently,455,Research & Development,4,5,Marketing,1,414,4,Female,61,2,2,Research Scientist,3,Divorced,16390,5k-10k,27682,2,Y,Yes,18,1,2,80,1,9,3,1,14,10,3,6
RM315,29,26-35,Yes,Travel_Frequently,1098,Human Resources,27,2,Technical Degree,1,415,4,Male,54,4,3,Manager,4,Married,9636,10k-20k,17434,10,Y,No,20,4,1,80,2,9,5,1,1,2,10,8
RM316,55,46-60,No,Travel_Rarely,230,Human Resources,13,4,Medical,1,416,2,Female,77,1,1,Sales Executive,4,Divorced,1578,20k+,9899,5,Y,Yes,14,2,3,80,3,6,2,1,8,5,6,5
RM317,20,18-25,No,Travel_Rarely,912,Research & Development,18,2,Life Sciences,1,417,3,Male,96,4,4,Manager,2,Divorced,8833,10k-20k,10967,2,Y,Yes,17,4,2,80,3,18,2,3,16,7,2,2
RM318,60,46-60,No,Travel_Rarely,558,Research & Development,20,4,Technical Degree,1,418,4,Female,55,1,2,Laboratory Technician,4,Married,13859,20k+,13036,1,Y,No,13,3,1,80,3,19,3,4,4,7,5,3
RM319,20,18-25,Yes,Travel_Frequently,215,Human Resources,1,1,Life Sciences,1,419,4,Male,85,2,5,Laboratory Technician,3,Divorced,14485,5k-10k,23391,5,Y,Yes,23,3,4,80,1,26,4,1,5,10,9,8
RM320,28,26-35,Yes,Travel_Frequently,643,Human Resources,7,2,Technical Degree,1,420,2,Male,52,4,1,Sales Representative,3,Divorced,12757,10k-20k,25235,2,Y,No,20,3,3,80,0,31,0,3,14,1,2,0
RM321,41,36-45,No,Travel_Rarely,1133,Sales,26,5,Medical,1,421,4,Female,51,2,5,Manager,1,Divorced,14510,5k-10k,10166,6,Y,Yes,16,2,1,80,2,10,3,3,20,1,4,5
RM322,39,36-45,No,Non-Travel,1144,Research & Development,30,5,Marketing,1,422,2,Female,31,4,1,Research Scientist,2,Married,12517,5k-10k,16480,0,Y,Yes,13,2,3,80,0,37,5,4,7,7,4,0
RM323,47,46-60,No,Travel_Rarely,1113,Research & Development,18,4,Medical,1,423,1,Female,90,4,4,Manager,2,Single,18680,5k-10k,15795,5,Y,Yes,19,3,3,80,1,12,1,3,16,0,7,6
RM324,38,36-45,Yes,Non-Travel,331,Human Resources,9,5,Life Sciences,1,424,1,Male,54,2,3,Manager,2,Married,19253,5k-10k,13817,2,Y,No,13,2,3,80,1,19,0,1,10,7,8,5
RM325,41,36-45,Yes,Travel_Rarely,236,Research & Development,13,4,Marketing,1,425,3,Female,34,3,5,Laboratory Technician,4,Married,8104,10k-20k,18086,10,Y,Yes,11,2,2,80,1,39,6,1,2,0,1,6
RM326,43,36-45,Yes,Non-Travel,392,Human Resources,4,1,Technical Degree,1,426,2,Female,87,1,2,Sales Representative,4,Single,10977,10k-20k,11489,6,Y,No,24,1,3,80,1,17,1,3,15,7,8,10
RM327,50,46-60,Yes,Travel_Rarely,1239,Sales,2,4,Technical Degree,1,427,1,Male,52,1,2,Manager,2,Single,11388,Upto 5k,7812,4,Y,Yes,18,1,2,80,0,10,6,3,12,6,0,5
RM328,36,36-45,No,Travel_Frequently,648,Research & Development,2,1,Medical,1,428,3,Female,67,1,4,Sales Executive,4,Divorced,6609,5k-10k,11078,6,Y,No,17,2,3,80,0,27,0,4,11,5,2,9
